岗位,公司,城市,工资,工作经验,学历,福利,公司性质,公司规模,岗位要求
软件开发工程师（物联网方向）,广东联通通信建设有限公司,广州-天河区,1-1.5万/月,2年经验,本科,,国企,50-150人,岗位职责：1.参与公司物联网平台核心模块设计与开发；2.理解产品需求，并负责根据需求实现软件架构设计，功能规划和相关接口开发设计，为在线项目提供技术支撑；3.解决开发过程中遇到的技术问题和技术难点。岗位要求：1、两年以上Java开发经验；2、扎实的编程基础，熟悉Java编程语言，精通主流Java架构，如：Spring、Spring Boot、Mybatis等；3、熟悉MySQL使用及调优，熟练使用Linux、Tomcat、Nginx等开源的服务器的配置；4、熟悉常见的物联网通信协议，例如MQTT、COAP、HTTP、TCP、UDP协议等；5、对物联网相关技术领域有相关经验或研究者优先。 职能类别：Java开发工程师 关键字：服务器配置
高级软件开发工程师（大数据方向）,北京万华恒信信息技术有限公司,北京-朝阳区,2-2.5万/月,3-4年经验,大专,五险一金 补充医疗保险 交通补贴 通讯补贴 年终奖金 定期体检 绩效奖金 周末双休 带薪年假 节日福利,民营公司,150-500人,职位描述：1.负责大数据采集、存储、计算、分析等场景的通用架构设计和开发；2.负责流式数据的实时传递、清洗、转换和计算（实时统计、分析等）的设计和开发；3.负责大数据中间件的设计和开发；4.负责以上各种架构平台及相关基础技术组件的稳定性保障及源码级的bugfix；5、负责用户画像，到推荐算法的全流程开发；实现bi报表和相关活动效果报表和效果预估。任职要求：1.扎实的Java开发功底，有丰富的并发编程经验；2.熟悉Hadoop、Spark、Flink、Kafka、Presto、ES、Hive、Flume等三门以上，熟悉原理源码、有二次开发优先；3.有参与构建海量数据存储、离线/实时计算、实时查询，大数据平台、BI平台的经验优先；4.擅于沟通和解决问题，乐于总结分享，有想法，有冲劲，有团队精神和主人翁意识和责任感 职能类别：Java开发工程师 关键字：
软件开发工程师（物联网项目）,研祥智能科技股份有限公司,成都-高新区,1.5-2.5万/月,3-4年经验,本科,五险一金 绩效奖金 员工旅游 周末双休 开车补贴 包三餐 包住宿 无息车房补贴,上市公司,1000-5000人,岗位职责：1. 制定并保障公司软件架构技术路线、软件开发规范、前后端集成规范的落地执行；2. 负责公司产品平台的后端架构设计，包括IAAS、PAAS层云管理平台设计及开发；3. 编写软件系统基础框架、核心模块代码；4. 指导并解答软件开发工程师开发过程遇到的问题，内容包括软件业务逻辑方面的和编码方面；5. 负责后台的技术研究和新技术调研。任职资格：1、本科以上学历，计算机或数学相关专业，3年以上Java开发经验，及IAAS、PAAS层云管理平台开发经验；2、精通Spring、mybatis、elk等框架，熟悉Spring boot、Spring cloud框架，熟悉微服务、服务网格架构及相关组件应用；3、精通Mysql/oracle等常用数据库，具备SQL调优能力，熟悉linux常用操作；4、熟悉Redis、kafka、RabbitMQ等开源中间件使用及调优；5、有车联网/互联网/大数据/物联网/智能交通相关系统工作经验优先。深圳南山、光明两地自由选择 职能类别：Java开发工程师
软件工程师(物联网方向),杭州绿掌科技有限公司,杭州-萧山区,1-1.5万/月,2年经验,本科,五险一金 带薪年假 绩效奖金 节日福利 加班补贴 交通补贴 大小休,民营公司,50-150人,岗位职责1、负责公司物联网安全产品的后端设计、开发工作任职要求1、计算机或软件工程专业毕业。2年以上JAVA开发经验，熟悉J2EE，熟悉设计模式，掌握面向对象开发语言 2、熟悉JVM虚拟机 3、熟悉Spring、Spring MVC、Spring boot、shiro、mybatis等WEB后端开发技能 4、熟悉SQL和NoSQL 5、熟悉后端开发所常用的中间件rPc框架、分布式协同、mq、es等掌握分布式理论基础 6、熟知计算机组成原理、操作系统原理 7、具备系统需求分析与架构设计的能力，熟悉软件设计规范并具备良好的编码风格 职能类别：
软件开发工程师（物联网方向）,杭州绿掌科技有限公司,南京-江宁区,1-1.5万/月,3-4年经验,本科,五险一金 带薪年假 绩效奖金 节日福利 加班补贴 交通补贴,民营公司,50-150人,"1.负责设计终端接入平台与应用的架构设计，包括体系，标准制定，功能模块设计，详细设计和功能开发。2.负责物联网数据采集层，数据传输层，云服务层，业务用用层的数据传输协议及接口规范定义及云平台架构搭建，并制定方案。3.参与软件需求分析，负责应用需求实现软件架构设计，功能规划和相关接口开发设计，为在线项目提供技术支撑。4.负责与应用开发，大数据及云存储的技术接口设计 任职要求：1.大专以上学历、计算机专业相关专业，大专五年以上、本科三年以上工作经验。2.熟练掌握设备通讯接口协议至少3种，如：HTTPS，SOCKET,MQTT，RS485，Modbus，Bacnet、CoAP，OPC等；有windows、linux运维经验。3.熟练掌握.Net（C#）、java，有大数据高并发处理能力，熟悉多种设计模式并能把设计模式合理地引入开发实践，理解服务器性能、负荷与各种程序代码的相互关系。4. 熟悉主流数据库，如ORACLE、MySQL，熟练使用PL/SQL语言，能够编写存储过程和触发器，能独立按照需求进行数据库表结构设计。5.具有良好的代码和文档编写能力；工作认真负责，学习能力强，能够在短时间内承担公司项目开发工作；有强烈的事业心和责任心，具有良好的团队合作精神。 职能类别："
欧美中级软件开发工程师(大数据方向),大连隆基信息技术有限公司,大连-甘井子区,0.9-1.7万/月,2年经验,大专,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 定期体检 年终奖金 出国机会,民营公司,150-500人,"岗位职责：1、负责公司的大数据处理框架的研发设计工作；2、对现有系统的不足进行分析，难点攻关，找到目前系统的瓶颈，改进系统架构设计，提高系统性能；3、根据用户行为分析，挖掘有价值的信息，指导公司运营和决策；4、参与小组的产品设计讨论，共同讨论和设计产品。岗位要求：1、大专及以上学历，计算机相关专业优先；2、3年以上工作经验，有大数据开发经验，熟悉Hadoop大数据处理系统的开发,搭建及部署；3、英语读写能力及以上，口语能沟通者优先考虑；4、精通JAVA或Python语言，熟悉Linux开发环境；5、熟悉hadoop生态系统项目的使用（hdfs、hive、hbase、spark、zookeeper,yarn等）；6、学习和理解能力强，具有一定的系统分析能力，及独立解决问题的能力；7、具备良好的团队合作精神和承受压力的能力。福利待遇：1、13薪+年终奖（1-3个月）带薪年假10天+带薪病假12天+六险一金（全额基数缴纳保险公积金）+年度体检+礼品（生日、结婚、生育、端午、中秋等）；2、多元化的员工培训（技能培训、拓展培训、英语培训、储备干部培训等）；3、健全的员工关怀机制，公司设有健身俱乐部，提倡员工健康生活，快乐工作；4、公司内部培训和晋升体系完善，每年度薪资涨幅美丽； 职能类别：软件工程师 关键字："
软件工程师（物联网）,同程数科,上海-浦东新区,1.5-3万/月,5-7年经验,本科,做五休二 带薪年假 五险一金 节日福利 餐饮补贴 通讯补贴 定期体检 健身俱乐部 年终奖金 绩效奖金,民营公司,500-1000人,岗位职责：1、参加相关应用的开发，参与系统的分析与设计，并负责代码实现；2、根据开发规范与流程完成模块的设计、开发；3、及时处理和解决开发过程中出现的技术问题，并向主管提供技术维护和解决方案；4、完成技术文档资料的整理和归档工作；5、参与部门新技术的培训和学习，不断提高自身技术水平；任职要求：1. 熟悉SSM（Spring、SpringMVC、Mybatis）、SpringBoot、SpringCloud、Mysql/Mongodb等开源框架，掌握Redis、Mysql、Rocketmq、Rabbitmq等技术；2. Java基础扎实，有分布式系统的设计和开发经验；3. 熟练使用Linux、Tomcat、Nginx等开源的服务器的配置；4. 熟悉各种设计模式，具有一定的抽象设计能力，思路清晰，善于思考，能独立分析和解决问题；5. 具备极强的团队精神和合作精神，对工作有热情，能够承受住压力，能组织其他同事一起完成目标；6.有物联网项目经验优先。 职能类别：Java开发工程师 关键字：java
大数据中心-软件开发工程师,浙江大学滨海产业技术研究院,天津-滨海新区,0.7-1.4万/月,2年经验,本科,五险一金 免费班车 餐饮补贴 定期体检 专业培训 带薪年假,事业单位,150-500人,1.根据项目或产品需求负责WEB后端、ETL、数据库等开发工作；2.负责项目或产品的后端技术设计、技术开发，预知项目开发工作风险，跟进项目各阶段的技术问题；3.和前端工程师合作，不断优化和规范化接口开发和对接工作流程；4.后端及数据新技术的探索、性能优化，不断推进系统架构的演进。任职要求：1、计算机、软件、自动化及相关专业本科以上学历；2、2年以上JAVA开发经验，了解JVM，熟悉Spring Boot & Spring Cloud、Mybatis等开源框架；3、熟悉SQL，熟悉Sql server、Mysql、Postgresql、Oracle中的一种或几种；4、熟悉Nginx、Tomcat等Web server的配置和使用，5、有Netty编程经验，深入理解HTTP、HTTPS、TCP、UDP等网络协议者优先；6、有网络爬虫、ETL、数据分析处理经验者优先考虑；7、熟练使用Linux操作系统，熟悉网络路由等知识；8、熟悉GIS相关知识、有Arcgis、Qgis使用经验者优先；9、有python、spark开发经验或大数据分析经验者优先；10、具备强烈的技术进取心，有良好的沟通与合作精神，拥有优秀的问题分析及解决能力。 职能类别：Java开发工程师 关键字：
高级软件后端开发工程师-大数据方向,烟台欣和企业食品有限公司,上海-长宁区,2-3万/月,5-7年经验,本科,,外资（欧美）,1000-5000人,职位职责：1.负责公司数据分析型产品开发，服务于BI系统和其它产品线；2.理解分析业务需求，承接业务层面海量数据计算任务，为业务系统提供算法支持；3.参与平台的整体数据架构设计，完成从业务模型到数据模型的设计工作；4.持续改进项目，优化算法，提升性能；5.负责技术攻关和创新技术引用，开发具有数据分析、数据挖掘能力的创新型产品；6.组织技术交流，对开发成员进行技术指导和培训。 职位要求：1.***本科学历及以上，计算机相关专业毕业；2.五年以上Java开发经验，至少三年以上大数据和算法系统开发经验；3.精通JAVA/Scala，并掌握spring、mybatis等开源J2EE框架；4.对JVM运行机制有深入了解，对数据结构和算法设计有较为深刻的理解；5.精通hive/mysql等数据库、精通sql语言，对数据库优化、sql优化等有相关经验；6.掌握spark、flink等一种或者几种，有丰富的项目开发经验，并对其架构有深入理解，熟悉其源码；7.强悍的编码能力，生产环境快速修复能力，对新技术有强烈的学习热情；8.沟通能力强，具有高度的积极性和责任感，具备良好的团队合作精神；9.能快速理解业务背景，高度的抽象设计能力，对数据敏感，崇尚数据说话，深信数据在驱动业务、支撑决策上的价值；10.有web应用开发能力者或机器学习模型线上部署经验优先。
软件工程师(物联网),深圳市同鑫科技有限公司,深圳-福田区,6-8千/月,2年经验,大专,五险一金 免费班车 员工旅游 专业培训,民营公司,50-150人,"1、负责工业互联网平台整体架构技术方案的制定，负责技术组件选型、架构开发、指导开发团队使用。2、负责设计终端接入平台与应用的架构设计，包括体系，标准制定，功能模块设计，详细设计和功能开发。3、负责物联网数据采集层，数据传输层，云服务层，业务用用层的数据传输协议及接口规范定义及云平台架构搭建，并制定方案。4、参与软件需求分析，负责应用需求实现软件架构设计，功能规划和相关接口开发设计，为在线项目提供技术支撑。5、负责与应用开发，大数据及云存储的技术接口设计。 职位要求：1、大专以上学历、计算机专业相关专业，2、熟练掌握设备通讯接口协议至少3种，如：HTTPS，SOCKET,MQTT，RS485，Modbus，Bacnet、CoAP，OPC等；有windows、linux运维经验。"
软件开发工程师（物联网）,广东医大智能科技有限公司,广州,0.8-1万/月,无需经验,本科,项目奖金 年终奖金 岗位晋升 每年多次调薪 周末双休 技术大咖 管理大咖 福利好 办公环境舒适 公司氛围好,民营公司,150-500人,1、负责物联网（IoT）相关业务服务器端的研发工作，包括需求沟通、功能设计与开发等；2、对后端的设计和实现不断优化和改进，满足业务发展和高性能系统的需求。任职要求：1、扎实的编程基础，熟悉Java编程语言；2、1年以上JAVA语言为主的大中型WEB服务开发经验。 职能类别：Java开发工程师 关键字：java
软件开发高级工程师（物联网）,深圳市君恒利建设工程有限公司,深圳-南山区,2.5-3万/月,5-7年经验,本科,五险一金 员工旅游 绩效奖金 专业培训 年终奖金,民营公司,150-500人,1.参与产品／项目需求评审，主导参与技术方案编写，输出系统详细的设计文档；2.根据产品／项目需求文档和进度计划，完成相关系统的迭代更新与开发工作；3.负责版本间的完整性、一致性，确保升级版本间的兼容，做好源代码的管理工作。任职资格1.本科或以上学历，计算机或理工科相关专业，3-5年以上工作经验；2.有行业物联网平台／SaaS平台（如智慧校园、智慧社区、智慧园区、智慧景区、智慧工厂等）开发经验；3.扎实的JAVA编程基础，对开源的框架如Spring、 mybatis、Spring boot、Springcloud、Dubbo等有深入的了解；4.熟悉大华、海康摄像头、门禁等设备；熟悉物联网协议(MQTT、COAP等)；5.熟悉微服务架构，擅长分布式、大流量系统的设计与开发，熟悉Oracle、MySQL相关大型数据库技术，熟悉数据安全，网络安全相关技术；6.熟悉分布式系统基础设施中常用的技术，如缓存、消息中间件等；7.具有良好的责任心、沟通能力、团队精神并具有一定的团队管理经验。
软件工程师（物联网）,深圳市蓝禾技术有限公司,深圳-龙华区,1.5-2.5万/月,5-7年经验,大专,五险一金 员工旅游 绩效奖金 弹性工作 股票期权,民营公司,1000-5000人,Java后台开发岗位职责1.负责公司软件项目的研发与设计；2.参与项目需求沟通、完成设计文档编写及软件代码编写和测试工作；3.能自己搭建公共库环境，研究开源架构为项目所用；4.参与系统环境配置和服务器部署；5.能顺应团队整体规划，积极展开工作，责任心强；任职资格:1.计算机信息技术或相关专业，6年以上Java开发经验；2.精通Java后端开发技术，并深刻理解其原理，包括SpringBoot、SpringCloud、MyBatis、RabbitMQ等；3.熟悉Nginx、Tomcat、Redis、MQ、Kafka、Zookeeper等中间件的使用；4.熟悉Linux系统及TCP/IP/HTTP/HTTPS等常用网络协议；5.熟悉Java常用API，理解IO、多线程、集合等基础技术；6.精通各种数据结构和算法；7.熟悉分布式、微服务架构，高性能高并发处理；8.熟悉NB-IoT/LoRa/WiFi等物联网模块及其协议栈开发者优先；9.熟悉MQTT，CoAP等物联网协议者优先；10.熟悉主流应用服务器，熟悉常见开发架构及其原理；11.条理清晰、沟通表达能力良好，具备较强的学习钻研、解决问题的能力；
软件开发工程师（大数据和AI中心）,中国电信股份有限公司重庆分公司,重庆,0.8-1万/月,5-7年经验,本科,,国企,10000人以上,1、根据项目的需求、项目经理要求完成相关的工作；2、根据需求参与功能模块的需求分析，编写功能模块的概要设计文档；3、功能模块的代码编写、测试、部署和集成；4、对已有的产品功能模块进行升级和维护；5、新技术研究及创新；6、遵守开发流程及编写相关文档。任职要求:1、学历（本科以上学历，计算机相关专业，5年以上工作经验。）2、有扎实的Java语言基础，熟练掌握Java语言及相关开发工具；3、精通SpringBoot、SpringCloud、Hibernate、SpringMvc等技术； 4、熟练使用常用的前端框架，如React.js、Angular.js、node.js框架等；5、具有丰富的oracle或mysql使用与开发经验；6、熟悉Nginx、Tomcat等常见应用服务器；7、熟悉项目构建工具，如：Maven、Gradle等8、有具备良好的逻辑分析能力，对技术有强烈的兴趣，喜欢钻研；9、良好的沟通技巧、团队合作精神，善于沟通和表达，有很强的责任心10、工作积极主动、敬业，能承受较大工作压力；
软件开发工程师（物联网）,深圳市航通智能技术有限公司,深圳-宝安区,0.8-1.2万/月,2年经验,本科,五险一金 补充医疗保险 补充公积金 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 弹性工作,民营公司,150-500人,技能要求：1.精通MyEclipse、PowerDesigner、Spring MVC、Hibernate、JSP、JQuery、CSS等技术和工具；2.熟练掌握Spring、MyBatis、微服务等框架和技术的设计思想和实现方式；3.熟悉Oracle、SQLServer、MySQL等数据库；熟悉SQL语句；4.参与过大型应用软件项目的开发或实施经验5.上进心强，能吃苦耐劳，良好的表达沟通和学习能力，善于合作，高度的敬业精神和团队合作意识。工作职责：1.驻点深圳机场开发运维，保障运维系统正常运行，参与系统维护。2.参与java项目开发应用软件项目的开发或实施3.参与编写售前方案，根据个人兴趣做出调整。
软件大数据开发工程师,苏州帕诺米克生物医药科技有限公司,成都-天府新区,0.8-1.2万/月,无需经验,本科,五险一金 员工旅游 餐饮补贴 专业培训 出国机会 年终奖金 股票期权 弹性工作 定期体检 交通补贴,民营公司,500-1000人,"职位描述：1、负责面向日志服务的大数据系统建设和设计；2、负责面向代谢组数据库服务的大数据系统的建设和设计；3、打造帕诺米克一体化的大数据平台引擎，负责数据治理、数据资产建设、模型集市建设等，设计相关主题的事实表和维度表等。任职要求：1. 本科及以上，工作经验不限2. 熟悉常用Linux命令，熟练掌握Java大数据开发技术；3.有较强的编码和线上排障能力，对新技术有强烈的学习热情；4.熟悉Hive、Impala、Hbase等常用大数据数据仓库组件，了解数据仓库架构，熟悉数据仓库建模方法；5.有流式计算开发经验，如Spark、storm、Flink等；6. 熟悉调度层任一种组件，如k8s,mesos,yarn;7. 对索引服务Elasticsearch、Solr有开发、应用和调优经验者优先。"
软件大数据工程师,四川海格恒通专网科技有限公司,成都-武侯区,1-1.5万/月,3-4年经验,本科,,国企,150-500人,"1、负责Web前端开发及迭代升级工作；2、负责已有项目的易用性优化、性能提升、兼容性处理等工作；3、负责APP产品的开发工作；4、学习公司业务相关的技术和知识。任职要求： 1、计算机相关专业，2年及以上前端开发经验；2、精通HTML5/CSS3/Javascript等常用前端技术;3、熟练使用vue框架，并熟悉MVC、MVVM等前端开发模型; 4、有WebGL、ThreeJS开发经验者优先；5、有跨平台技术Flutter等开发经验者优先；6、对产品有强烈的责任心, 对工作和团队合作有积极主动的态度。"
物联网软件工程师,Ameya Holding Limited,上海-闵行区,1-1.5万/月,2年经验,大专,周末双休 五险一金 节日福利 年终奖金 绩效奖金,外资（非欧美）,150-500人,"1、负责物联网IOT平台的开发；2、负责相关业务系统的数据库设计和接口开发以及对外SDK的编写；3.负责物联网IoT数据的采集，分析以及与业务系统对接开发；4.配合项目经理或其他成员，按计划完成程序开发任务；5.对开发软件提供技术支持，及时解决维护过程中遇到的相关问题；6. 调查新的物联网IoT开发方法和技术，并能提出合理化方案；岗位要求：1、2年以上物联网应用平台开发经验及一年以上物联网IOT平台开发经验,大专及以上学历，计算机、软件等相关专业；2、精通Java, 掌握Spring、SpringMVC、SpringBoot、Mybatis等相关框架，熟悉Linux系统；3、精通各种网络通信协议,掌握TCP、HTTP、UDP、MQTT等编程；4、掌握Mysql、Redis、Orcale等数据库，熟练使用RabbitMQ；5、拥有优秀的发现和解决问题的能力，良好的沟通和团队协作能力，能承担一定压力；6、有相关物联网开发经验"
高级软件开发工程师(软件后端 / 大数据) - 南通,链睿信息服务（南通）有限公司上海分公司,南通-崇川区,1.5-2.5万/月,5-7年经验,本科,弹性工作 周末双休 专业培训 丰富团队活动 团队氛围好 五险一金 补充医疗保险 交通补贴 餐饮补贴 定期体检,外资（欧美）,50-150人,"RESPONSIBILITIES1.Designandbuildcoreservices,APIs,andinfrastructurethatsupportsthegrowthofLiveRampproduct.设计和实现LiveRamp产品的核心功能，包括API、基础架构和支持LiveRamp产品的进一步发展进步等2.Builddistributed,scalable,andreliabledatapipelinesthatingestandprocessterabytesofdataperday.构建分布式，可扩展且可靠的数据处理技术，以处理每日TB级别的数据3.Workonamassivelyscalablesegmentationenginethatperformsrealtimesegmentationwithaccuratecountsforpeople-basedmarketing.Ifyouenjoyadvancedqueryprocessingengines,indexingstrategies,anddatabaseenginesingeneral,thiscouldbeafit.开发大规模可扩展的实时数据处理引擎，可针对消费者的营销方案进行准确的筛选和投放。对于使用高级查询引擎，索引策略和数据库引擎等方面感兴趣4.EnhanceourcoretoolkittoenableeasyimplementationofdiscoverableservicesandAPIs.Youwouldloveworkingonthisifbuildingtoolkitsandlibrariesthatotherdeveloperslovetouseisyourthing.增强产品核心功能，实现可发现的服务和API，构建便于他人使用的工具和libraries5.Builddatacollaborationcapabilitiesthatallowdifferentpartiestoconnecttheirowndataandalsocreatenewdatapartnerships.开发大数据协作平台，帮助客户连接多方数据，并建立新的数据合作伙伴关系6.Buildtoolsthatenabledataanalystsanddatascientiststoturndataintoactionableinsights.构建工具，帮助数据分析师和数据科学家在平台上完成数据的分析和洞察7.Leveragecutting-edgeprivacy-enhancingtechnologiestoenhanceourproductofferings.利用***的技术来保护和增强我们数据平台的隐私合规性8.Collaboratecloselywithproduct,datascience,infrastructure,andotherinternalpartnerstoworkonaremote-firstteamthatconsistsofsupportiveandpassionatesoftwareengineers.与产品经理、数据团队、基础架构团队及其他内部同事紧密合作，为产品用户提供远程技术支持和问题解决QUALIFICATIONS1.Excellentoral&writtenEnglishskills,abilitytocommunicatewithforeigncolleaguesandtodocumentrequirementsandspecificationsinEnglish.优秀的英文听说读写能力，能够自如使用英文与外国同事交流及书写文档、邮件等2.6+yearsofexperiencewritinganddeployinghigh-qualityproductioncodetodeliverbusinessvalue.6年以上大型项目开发经验，能够高质量交付业务，熟练掌握产品开发的全套流程，包括设计、实现、部署等3.Excellentcommunicationskills,team-workspirit,analyticalandlogicalthinking.具备出色的对内对外沟通能力、团队合作精神、问题分析能力和逻辑能力4.Haveapassionandtrackrecordfordesigningandbuildingscalableservices,APIs,andinfrastructures.具备良好的文档书写能力，能够积极参与产品设计，构建可扩展的服务，API和基础架构5.StrongexperienceprogramminginJavaorbigdatatechnologies(Hadoop,Spark,Presto,Airflow,etc)具备较强的Java后端开发能力或具备Hadoop/Spark/Presto/Airflow等大数据技术经验者优先6.Haveaproduct-orientedmindset:youlikeofferingtechnicalsolutionstobusinessproblems.具备以产品为导向的意识，能够为业务问题提供技术解决方案7.Strongknowledge&experienceonSCRUMprojectmanagement.精通SCRUM开发流程8.ExperiencewithGCPoranothercloudprovider(AWS,Azure,...).拥有GCP或其他云计算服务商（AWS，Azure等）的云计算平台经验者优先9.TypeS(tartup)personality:smart,ethical,friendly,hard-workingandproactive.工作积极主动，勤奋、热情、努力上进10.Experienceworkingonaremote-firstteam.拥有远程服务支持经验者优先11.BScdegreeinComputerScience,Engineeringorrelevantfield.本科及以上学历，计算机科学、软件工程等相关专业"
软件开发工程师（大数据方向）,上海速强信息技术股份有限公司,上海,1-1.5万/月,3-4年经验,大专,,民营公司,150-500人,"1、本科（学信网）及以上学历,3年以上使用Java语言开发经验； 2、Java基础扎实，对设计模式有一定了解，初步理解io、多线程、集合等技术的一种；3、熟练掌握Spring boot 、Spring cloud、dubbo等开发； 4、熟悉分布式部署架构和网络编程，具有设计和开发对外API接口经验和能力,了解分布式、缓存、消息等机制； 5、了解多线程及高性能的设计与编码及性能调优；有高并发应用开发经验优先； 6、有金融、银行等相关业务系统开发经验者优先； 7、熟悉MySQL、Oracle，熟练掌握SQL优化； 8、学习能力强，适应能力好；具备耐心、细心的品质； 9、有大型项目开发经验者优先。 10、有大数据工作经验优先。"
物联网(软件)软件工程师,松下电器软件开发（大连）有限公司,大连-高新园区,15-20万/年,5-7年经验,本科,八险一金 绩效奖金 年终奖金 补充医疗保险 出国机会 员工旅游 透明上升空间 弹性工作 专业培训 定期体检,外资（非欧美）,150-500人,岗位描述：负责物联网系统中服务器平台的软件设计与开发1、负责公司产品的功能规划、需求分析设计、技术实现和用户体验；2、负责所属模块的代码开发、调试与维护工作；3、配合测试人员对发现的问题进行修改；4、正确进行源代码发布和管理；5、良好的团队合作，完成公司产品研发工作。任职要求：1、具有扎实全面的Java编程能力，深刻理解面向对象的程序设计思想。熟悉J2EE、J2SE规范及体系，了解分布式应用系统的分层模式；2、掌握Hibernate、Struts、Spring、JavaBean、AJAX、XML、JDBC、JasperReports、iReport、JNDI、JSPServlet等技术，熟练掌握spring+hibernate+struts框架，熟悉Java多线程；熟悉UML；理解MVC设计模式；3、熟悉JBuilder、Eclipse、MyEclipse等开发工具以及相关的代码版本管理工具；至少了解一种常用的应用服务器的配置与部署，如WebSphere、Jboss、WebLogic、Tomcat等，可以对目标系统进行一定的优化配置；4、掌握关系型数据库（Oracle，SQLServer，Mysql等）的操作及编程，熟悉SQL语言；5、从事过大型信息系统的开发，担任过项目的需求分析与系统设计或核心模块的开发工作，熟悉常用设计工具及软件技术文档编写方式，具备良好的文档编制习惯和代码书写规范；6、具有日语读写经验，N2、N1资格者优先。
软件后端工程师（物联网方向）（MJ000184）,广州朗国电子科技股份有限公司,广州-黄埔区,1.2-2.4万/月,3-4年经验,本科,五险一金 补充医疗保险 免费班车 年终奖金 股票期权 弹性工作 定期体检 包餐,上市公司,150-500人,"岗位职责：1、按项目时间节点要求完成所分配的产品需求开发；2、按公司编码规范进行编码；3、对所开发的功能进行单元测试，为开发质量负责；4、参与产品需求的分析，交互设计评审，并能提出优化建议；5、产品、技术文档编写；任职要求：1.精通Sping Cloud 技术栈；2.熟悉多线程；3.熟悉高并发，大数据量业务场景处理；4.精通关系型数据库，如:MySQL, Oracle等至少一种；5.熟悉常用NoSQL数据库；6.熟悉常用消息队列，熟悉常用缓存框架。"
软件开发工程师(数据大数据方向),上海英方软件股份有限公司,北京-朝阳区,1.4-2.8万/月,2年经验,本科,五险一金 通讯补贴 绩效奖金 年终奖金 股票期权 弹性工作 定期体检 员工旅游,民营公司,150-500人,初中高级人员均在招聘岗位一、岗位名称：初中级JAVA开发工程师：岗位职责：参与数据库系统备份迁移相关项目的设计开发工作配合测试人员，负责解决开发过程中发现的各种问题现场支持软件部署 岗位要求：统招本科及以上学历;计算机相关专业，具有较好的计算机相关知识，2年以上开发相关经验;具有较好的Java基础，精通I/O，多线程、集合等基础框架；较强的编码能力，良好的设计能力和编码风格，熟悉scala优先具有较好算法基础，熟悉常见的数据结构，有开源代码阅读经验优先;熟悉数据库结构设计，熟悉Oracle、Mysql等关系数据库，有数据库日志分析经验优先；较强的问题分析和设计能力，较好的团队协作能力熟悉Kafka消息队列优先，有数据库同步工具或者大数据平台使用经验者优先岗位二：1、本科及以上学历，计算机相关专业毕业2、熟练JAVA开发3、熟练相关数据库知识4、2年及以上JAVA开发经验，5、熟悉hadoop备份和迁移优先考虑
大数据软件工程师（软件）,北京中星微电子有限公司,珠海-横琴新区,1-2.2万/月,3-4年经验,本科,五险一金 补充医疗保险 补充公积金 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,外资（欧美）,500-1000人,1.负责视频图像人工智能解析与大数据分析应用相关新产品的研发和现有产品的升级维护2.参与项目需求分析、技术调研，负责设计完成需求规格、软件架构、测试策略，撰写相关的技术文档3.搭建研发环境，完成系统中相关软件模块的编码、调试、单元测试、功能验证，保证项目进度和产品质量4.协助完成项目的系统集成测试、版本交付等工作，对项目实施和维护提供支持能力要求：1.2年以上J2EE开发经验，熟练掌握相关技术（Servlet、JDBC、JSP等）、框架（Spring、iBATIS等）、中间件（Tomcat等）2.熟悉PostgreSQL、MySQL等数据库开发技术，了解数据库调优，有DBA经验者优先3.有分布式环境开发组件，如ETCD或Zookeeper、Redis或Gemfire、ElasticSearch、Kafka等开发经验者优先4.有SpringCloud平台等微服务开发经验更佳5.熟悉常用软件架构、设计模式，有C/C++开发经验者优先6.熟悉软件研发流程，具有良好的质量意识和规范的编程习惯7.积极主动，责任心强，富有创新意识，具备良好的沟通、学习能力和团队协作精神8.英语良好，能够熟练读、写英文技术资料注：申请高级职位者要求5年以上相关工作经验
软件开发工程师（物联网方向）,深圳市科蕴电子有限公司,深圳-龙岗区,1-1.5万/月,2年经验,大专,,民营公司,,具有扎实的基本功。必备技能SpringSpringBootSpringCloudMysqlRedis1、精通Java语言，并了解JVM调优。2、精通TCP/IP协议相关知识及网络通信编程。（这项很重要！一定要做过现在能立马上手的！！！）3、精通常用缓存及数据库相关编程。4、熟悉常用算法、数据结构、设计模式、多线程、分布式等。5、掌握Spring全家桶Netty等框架。6、掌握Linux基本的环境搭建及常规操作。7、掌握HTMLCSSJquery的使用。8、了解常用的前端框架。会做小程序App的优先因疫情影响，我们会先电话面试，电谈后，双方都有意向再进行面试。
